comment_id,video_id,video_title,source_url,author,comment,like_count,published_at,updated_at,total_reply_count,clean_comment,jumlah_kata,jumlah_karakter,label,label_confidence,label_reason,score_kritik,score_pro_peserta,score_netral,hits_kritik,hits_pro_peserta,hits_netral,manual_review_required,label_source
UgyM3oDclbCYeABJ6px4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@MuhammadSultan-p5n2c,Jurii budeeegg.,0,2026-06-04T12:05:29Z,2026-06-04T12:05:29Z,0,juri budeeegg,2,15,kritik_juri_panitia,0.71,"skor tertinggi: kritik_juri_panitia=4, kedua=pro_peserta=0",4,0,0,juri,,,False,weighted_rule_based_3class
Ugx14RnDNMVYvmLxULl4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@PutuGio-p2f,Lu goblok jangan jadi juri,0,2026-06-04T08:15:30Z,2026-06-04T08:15:30Z,0,goblok jangan jadi juri,5,26,kritik_juri_panitia,0.95,"kritik kuat terhadap juri/panitia/sistem; kritik=10, pro=0",10,0,0,"juri, authority+negative_context",,,False,weighted_rule_based_3class
UgwlzcdqMhtE2tn4-U54AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@LeeHenzzHenzz,Sama jawabannya berarti kakak oon lagi send me pictures of my job on YouTube video itu memang kayak gitu tapi kenapa makanya jangan bodoh ya,0,2026-06-04T05:33:09Z,2026-06-04T05:33:09Z,0,sama jawab arti kakak oon send pictures job youtube video memang kayak gitu makanya jangan bodoh,25,140,netral,0.69,"skor tertinggi: netral=5, kedua=kritik_juri_panitia=2",2,0,5,kenapa,,"apa, video",False,weighted_rule_based_3class
UgzNo1AqywtYZ19mex54AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@MuhammadExsaNugroho-f2x,Ini Juri nya GOBLOK atau gimana?Hah atau pasti Kasus main di belakang hah dasar otak kontol,0,2026-06-02T06:12:14Z,2026-06-02T06:12:14Z,0,juri goblok gimana hah kasus main belakang hah dasar otak kontol,16,91,kritik_juri_panitia,0.71,"skor tertinggi: kritik_juri_panitia=4, kedua=pro_peserta=0",4,0,0,juri,,,False,weighted_rule_based_3class
UgyqMZseKJyqKdzTR8x4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@vatea-thea,Telinga jurinya gaada yaa?,0,2026-06-02T04:41:08Z,2026-06-02T04:41:08Z,0,telinga juri gaada yaa,4,26,kritik_juri_panitia,0.98,"kritik kuat terhadap juri/panitia/sistem; kritik=14, pro=0",14,0,0,"juri, jurinya, authority+negative_context",,,False,weighted_rule_based_3class
UgzjaD8rPe9R85ADZiN4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@AghaBks,duta artikulasi😹,0,2026-06-01T14:28:50Z,2026-06-01T14:28:50Z,0,duta artikulasi,2,16,netral,0.5,tidak ada indikator kuat,0,0,0,,,,True,weighted_rule_based_3class
UgypYFh0aFB6iZw5ycN4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@sariapriza3302,Juri Tolol,1,2026-06-01T11:55:49Z,2026-06-01T11:55:49Z,0,juri tolol,2,10,kritik_juri_panitia,0.71,"skor tertinggi: kritik_juri_panitia=4, kedua=pro_peserta=0",4,0,0,juri,,,False,weighted_rule_based_3class
UgxrM1d6CdfIWDFlIFF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@sariapriza3302,Bodoh Banget Jurinya,1,2026-06-01T11:55:39Z,2026-06-01T11:55:39Z,0,bodoh juri,3,20,kritik_juri_panitia,0.87,"skor tertinggi: kritik_juri_panitia=8, kedua=pro_peserta=0",8,0,0,"juri, jurinya",,,False,weighted_rule_based_3class
Ugzw2Ov616BXyWLoCNt4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@AzzahraFirmansyah-o5i,"Yuyur gak adil, lirik lagunya aja katanya harus adil",0,2026-06-01T09:29:40Z,2026-06-01T09:29:40Z,0,yuyur tidak adil lirik lagu aja kata adil,9,52,kritik_juri_panitia,0.98,"kritik kuat terhadap juri/panitia/sistem; kritik=14, pro=0",14,0,0,"gak\s+adil, adil",,,False,weighted_rule_based_3class
UgxAV0t6t4ghGyNIWJF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@NaufalNaufal-mp8yw,Aaaaaaaaasssssssuuiiiiiii,0,2026-06-01T05:09:43Z,2026-06-01T05:09:43Z,0,aaaaaaaaasssssssuuiiiiiii,1,25,netral,0.5,tidak ada indikator kuat,0,0,0,,,,True,weighted_rule_based_3class
