comment_id,video_id,video_title,source_url,author,comment,like_count,published_at,updated_at,total_reply_count
UgyM3oDclbCYeABJ6px4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@MuhammadSultan-p5n2c,Jurii budeeegg.,0,2026-06-04T12:05:29Z,2026-06-04T12:05:29Z,0
Ugx14RnDNMVYvmLxULl4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@PutuGio-p2f,Lu goblok jangan jadi juri,0,2026-06-04T08:15:30Z,2026-06-04T08:15:30Z,0
UgwlzcdqMhtE2tn4-U54AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@LeeHenzzHenzz,Sama jawabannya berarti kakak oon lagi send me pictures of my job on YouTube video itu memang kayak gitu tapi kenapa makanya jangan bodoh ya,0,2026-06-04T05:33:09Z,2026-06-04T05:33:09Z,0
UgzNo1AqywtYZ19mex54AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@MuhammadExsaNugroho-f2x,Ini Juri nya GOBLOK atau gimana?Hah atau pasti Kasus main di belakang hah dasar otak kontol,0,2026-06-02T06:12:14Z,2026-06-02T06:12:14Z,0
UgyqMZseKJyqKdzTR8x4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@vatea-thea,Telinga jurinya gaada yaa?,0,2026-06-02T04:41:08Z,2026-06-02T04:41:08Z,0
UgzjaD8rPe9R85ADZiN4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@AghaBks,duta artikulasi😹,0,2026-06-01T14:28:50Z,2026-06-01T14:28:50Z,0
UgypYFh0aFB6iZw5ycN4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@sariapriza3302,Juri Tolol,1,2026-06-01T11:55:49Z,2026-06-01T11:55:49Z,0
UgxrM1d6CdfIWDFlIFF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@sariapriza3302,Bodoh Banget Jurinya,1,2026-06-01T11:55:39Z,2026-06-01T11:55:39Z,0
Ugzw2Ov616BXyWLoCNt4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@AzzahraFirmansyah-o5i,"Yuyur gak adil, lirik lagunya aja katanya harus adil",0,2026-06-01T09:29:40Z,2026-06-01T09:29:40Z,0
UgxAV0t6t4ghGyNIWJF4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@NaufalNaufal-mp8yw,Aaaaaaaaasssssssuuiiiiiii,0,2026-06-01T05:09:43Z,2026-06-01T05:09:43Z,0
Ugz6AtFllR_d7w0lnsp4AaABAg,iAE-ltq8CFI,Final Lomba Cerdas Cermat Empat Pilar MPR RI 2026 - Provinsi Kalimantan barat,https://www.youtube.com/live/iAE-ltq8CFI?si=oZ-igu5wwLvglsfE,@pakraden620,"Ini bukan akademik cerdas cermat,, tapi menunjukkan siapa yang paling bisa mengambil berkuasa memberikan poin ,,,  BANGSAT BANSAAAT",0,2026-05-31T23:50:12Z,2026-05-31T23:50:12Z,0
